Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Revolving_Bal,Avg_Utilization_Ratio,Total_Relationship_Count,Total_Amt_Chng_Q4_Q1,Credit_Limit,Customer_Age,Marital_Status,Attrition_Flag
8554,99,0.678,1728,0.464,1,0.595,3723.0,54,1,0
2107,39,0.393,1803,0.334,1,0.493,5396.0,58,3,1
1436,36,1.25,1648,0.103,6,0.732,15987.0,45,1,0
2616,46,1.3,2517,0.694,4,1.158,3625.0,34,1,0
3806,61,0.794,1926,0.708,5,0.602,2720.0,49,3,0
1267,27,1.077,648,0.451,5,0.477,1438.3,60,3,0
8644,87,0.554,1934,0.681,2,0.873,2838.0,43,1,0
3496,58,0.871,1560,0.449,3,0.894,3476.0,52,1,0
1870,51,0.275,1623,0.636,3,0.65,2550.0,30,3,0
2200,45,0.364,0,0.0,5,0.677,1457.0,33,1,1
5660,59,0.735,0,0.0,2,0.381,8022.0,29,2,1
1920,53,0.472,0,0.0,5,0.363,4316.0,57,0,1
14049,120,0.714,897,0.039,2,0.913,23103.0,28,3,0
1468,36,0.241,2037,0.304,3,0.401,6692.0,38,1,0
3820,72,0.532,2019,0.058,6,0.614,34516.0,49,3,0
3803,68,0.511,2002,0.897,6,1.107,2232.0,44,3,0
14977,117,0.721,0,0.0,6,0.717,3782.0,38,3,0
2729,66,0.535,1673,0.117,6,0.699,14244.0,32,1,0
1276,26,0.733,2102,0.088,2,0.997,23957.0,44,1,0
1955,42,0.448,461,0.21,5,0.636,2197.0,46,0,1
4659,76,0.854,2082,0.313,4,0.915,6644.0,46,0,0
8852,95,0.759,1584,0.629,2,0.76,2519.0,47,0,0
2598,47,0.469,0,0.0,6,0.868,3052.0,44,3,1
17119,124,0.797,1160,0.182,3,0.753,6380.0,43,3,0
2510,38,0.407,0,0.0,5,1.006,1749.0,49,0,1
3669,67,0.595,641,0.154,3,0.815,4170.0,54,1,0
15005,118,0.761,1868,0.459,2,0.688,4074.0,47,3,0
13820,99,0.65,0,0.0,2,0.788,14416.0,45,1,0
2136,54,0.8,864,0.056,2,0.578,15422.0,44,1,1
4601,88,0.76,2048,0.399,6,0.776,5130.0,60,3,0
2314,59,1.034,0,0.0,3,0.897,9293.0,35,1,0
1598,31,0.476,2517,0.828,5,0.493,3040.0,43,1,0
4943,85,0.735,2277,0.85,3,0.736,2679.0,55,1,0
7690,87,0.673,1464,0.042,2,0.689,34516.0,52,3,0
